Vip,FC,log2FC,ConcordGroup,logp,p,type,A,comp,log2Dry,log2Wet
0.422036487,1.008446416,0.012134427,3,0.053390723,0.963668784,insig,no,COG0364,12.01442328,12.00228885
0.487564542,1.00844338,0.012130085,3,0.048851832,0.966705375,insig,no,COG0332,11.19665035,11.18452026
0.424778542,1.008442932,0.012129444,3,0.165345694,0.891714824,insig,no,COG0820,11.44687938,11.43474994
0.589170038,1.008251165,0.011855072,3,0.078331236,0.947152584,insig,no,COG2246,13.12754341,13.11568834
0.174814636,1.008185475,0.011761074,3,0.078448371,0.947075686,insig,no,COG1902,10.83567368,10.8239126
0.103097319,1.008181788,0.011755799,3,0.145513745,0.904057385,insig,no,COG0527,11.07653567,11.06477987
0.516813754,1.008123508,0.011672399,3,0.047812976,0.967401731,insig,no,COG4221,10.81105385,10.79938145
0.546637984,1.007893917,0.0113438,3,0.034619401,0.976289283,insig,no,COG2740,13.11951965,13.10817585
0.666371565,1.007343648,0.010555932,3,0.07718277,0.94790687,insig,no,COG0662,11.2344182,11.22386227
0.16800547,1.007250253,0.010422168,3,0.067130743,0.954534506,insig,no,COG1451,12.38233221,12.37191004
0.241977384,1.007163993,0.010298611,3,0.084085103,0.9433826,insig,no,COG0249,11.35226696,11.34196835
0.51308027,1.006631587,0.009535774,3,0.035731003,0.975537338,insig,no,COG1281,12.70585405,12.69631827
0.142319443,1.006311358,0.009076752,3,0.129872147,0.913912438,insig,no,COG0681,11.35637879,11.34730204
0.296184829,1.006222347,0.008949135,3,0.06851641,0.953618144,insig,no,COG2041,12.19659753,12.18764839
0.486942252,1.006028685,0.008671441,3,0.082736768,0.944264693,insig,no,COG0138,11.28417131,11.27549987
0.056057336,1.005773179,0.008304987,3,0.082880406,0.944170684,insig,no,COG0229,11.45797889,11.4496739
0.655441511,1.005670966,0.008158363,3,0.044796965,0.969426238,insig,no,COG0110,11.48314992,11.47499155
0.200343378,1.005509791,0.00792713,3,0.034916834,0.976088027,insig,no,COG1744,12.45987547,12.45194834
0.406814837,1.005044488,0.007259363,3,0.034896951,0.97610148,insig,no,COG4783,12.22653481,12.21927545
0.494339107,1.005042078,0.007255903,3,0.035041293,0.976003825,insig,no,COG0531,10.73537564,10.72811974
0.448404899,1.004280899,0.00616285,3,0.093338541,0.937351113,insig,no,COG0504,11.31970939,11.31354654
0.534153941,1.003929107,0.005657396,3,0.027500811,0.981118424,insig,no,COG3509,12.93422648,12.92856908
0.699538416,1.001926946,0.002777321,3,0.007638829,0.99471916,insig,no,COG3752,12.96979246,12.96701514
0.06861121,1.001862347,0.0026843,3,0.0064467,0.995541457,insig,no,COG2606,13.26035447,13.25767017
0.513764745,1.00158928,0.002291027,3,0.009635012,0.99334377,insig,no,COG1463,11.67275665,11.67046562
0.28190793,1.00136516,0.001968167,3,0.020072336,0.986183256,insig,no,COG1034,11.30328927,11.30132111
0.157789836,1.001217947,0.001756057,3,0.010808465,0.992536137,insig,no,COG4177,11.0420932,11.04033714
0.466331616,1.00045097,0.000650465,3,0.002288707,0.998414847,insig,no,COG2301,12.20675325,12.20610278
